Model Name,Image,Prediction,Confidence,Latency
yolo_onnx,bus.jpg,bus,0.9070,0.0693
yolo_notonnx,street.jpg,bus,0.9115,0.2395
yolo_notonnx,Epic.jpg,person,0.6270,0.2446
yolo_notonnx,cat.jpg,cat,0.8799,0.2647
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2503
yolo_notonnx,zidane.jpg,person,0.8248,0.2704
yolo_notonnx,bus.jpg,bus,0.9070,0.2456
resnet50_onnx,street.jpg,minibus,0.9548,0.1348
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.1307
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0702
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0567
resnet50_onnx,zidane.jpg,suit,0.8285,0.0554
resnet50_onnx,bus.jpg,minibus,0.9594,0.0705
resnet50_notonnx,street.jpg,minibus,0.9548,0.1636
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.0942
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1423
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.0976
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1037
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1642
yolo_onnx,street.jpg,bus,0.9115,0.1004
yolo_onnx,Epic.jpg,person,0.6270,0.0968
yolo_onnx,cat.jpg,cat,0.8799,0.0815
yolo_onnx,pizza.jpg,pizza,0.9178,0.0814
yolo_onnx,zidane.jpg,person,0.8248,0.0748
yolo_onnx,bus.jpg,bus,0.9070,0.0673
yolo_notonnx,street.jpg,bus,0.9115,0.3161
yolo_notonnx,Epic.jpg,person,0.6270,0.2657
yolo_notonnx,cat.jpg,cat,0.8799,0.2718
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2929
yolo_notonnx,zidane.jpg,person,0.8248,0.2346
yolo_notonnx,bus.jpg,bus,0.9070,0.2569
resnet50_onnx,street.jpg,minibus,0.9548,0.0887
resnet50_onnx,batya.jpg,desk,0.1379,0.0731
resnet50_onnx,cafe.jpg,dining table,0.6431,0.0623
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0941
resnet50_onnx,hall.jpg,cinema,0.2461,0.1081
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0962
resnet50_onnx,kitchen.jpg,wardrobe,0.6246,0.0600
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0643
resnet50_onnx,zidane.jpg,suit,0.8285,0.0629
resnet50_onnx,bus.jpg,minibus,0.9594,0.0613
resnet50_notonnx,street.jpg,minibus,0.9548,0.1741
resnet50_notonnx,batya.jpg,desk,0.1379,0.1384
resnet50_notonnx,cafe.jpg,dining table,0.6431,0.2223
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1021
resnet50_notonnx,hall.jpg,cinema,0.2461,0.0918
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1009
resnet50_notonnx,kitchen.jpg,wardrobe,0.6246,0.1024
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1208
resnet50_notonnx,zidane.jpg,suit,0.8285,0.0949
resnet50_notonnx,bus.jpg,minibus,0.9594,0.0940
yolo_onnx,street.jpg,bus,0.9115,0.0940
yolo_onnx,batya.jpg,person,0.9039,0.0943
yolo_onnx,cafe.jpg,chair,0.9191,0.0823
yolo_onnx,Epic.jpg,person,0.6270,0.0873
yolo_onnx,hall.jpg,person,0.7959,0.0729
yolo_onnx,cat.jpg,cat,0.8799,0.0736
yolo_onnx,kitchen.jpg,cup,0.4199,0.0888
yolo_onnx,pizza.jpg,pizza,0.9178,0.0714
yolo_onnx,zidane.jpg,person,0.8248,0.0791
yolo_onnx,bus.jpg,bus,0.9070,0.0757
